,movieId,title,genres
3005,4021,Before Night Falls (2000),Drama
734,954,Mr. Smith Goes to Washington (1939),Drama
8628,118896,Mommy (2014),Drama
9739,193585,Flint (2017),Drama
445,510,Poetic Justice (1993),Drama
2411,3201,Five Easy Pieces (1970),Drama
2046,2725,Twin Falls Idaho (1999),Drama
2551,3415,"Mirror, The (Zerkalo) (1975)",Drama
7198,72641,"Blind Side, The  (2009)",Drama
993,1295,"Unbearable Lightness of Being, The (1988)",Drama
6926,64716,Seven Pounds (2008),Drama
3524,4815,Hearts in Atlantis (2001),Drama
6232,46231,Stoned (2005),Drama
3766,5256,Stolen Summer (2002),Drama
266,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
4299,6285,Levity (2003),Drama
9649,180095,Wonder (2017),Drama
5450,26082,Harakiri (Seppuku) (1962),Drama
3392,4615,Last Exit to Brooklyn (1989),Drama
9040,141668,War Room (2015),Drama
835,1096,Sophie's Choice (1982),Drama
1248,1659,Hurricane Streets (1997),Drama
625,795,Somebody to Love (1994),Drama
2497,3331,My Tutor (1983),Drama
3771,5267,"Rookie, The (2002)",Drama
3652,5016,"Shipping News, The (2001)",Drama
5326,8848,"Vitelloni, I (a.k.a. The Young and the Passionate) (1953)",Drama
5086,8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
4020,5682,"Grey Zone, The (2001)",Drama
4097,5873,The Emperor's Club (2002),Drama
6388,50514,After the Wedding (Efter brylluppet) (2006),Drama
4054,5772,My Dinner with André (1981),Drama
4450,6571,"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama
6137,43908,London (2005),Drama
803,1051,Trees Lounge (1996),Drama
7854,93790,Detachment (2011),Drama
3312,4482,"Bright Lights, Big City (1988)",Drama
2433,3246,Malcolm X (1992),Drama
1832,2433,"Civil Action, A (1998)",Drama
2711,3637,Vagabond (Sans toit ni loi) (1985),Drama
3739,5202,Mon oncle d'Amérique (1980),Drama
4605,6858,Knife in the Water (Nóz w wodzie) (1962),Drama
6139,43914,Winter Passing (2005),Drama
9062,142222,Demolition (2016),Drama
5427,25898,Day of Wrath (Vredens dag) (1943),Drama
1919,2546,"Deep End of the Ocean, The (1999)",Drama
7490,82684,Trash Humpers (2009),Drama
647,835,Foxfire (1996),Drama
5219,8518,Anna Christie (1930),Drama
3841,5390,CQ (2001),Drama
5019,7789,"11'09""01 - September 11 (2002)",Drama
3356,4557,Tucker: The Man and His Dream (1988),Drama
4822,7190,Jane Eyre (1970),Drama
7519,84240,Even the Rain (También la lluvia) (2010),Drama
4179,6022,American Me (1992),Drama
3491,4772,Dinner Rush (2000),Drama
937,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
2359,3125,"End of the Affair, The (1999)",Drama
5447,26059,When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki) (1960),Drama
564,685,It's My Party (1996),Drama
6708,58492,Snow Angels (2007),Drama
4158,5988,Quicksilver (1986),Drama
9416,165551,Lion (2016),Drama
8790,129659,"McFarland, USA (2015)",Drama
2796,3738,"Sugarland Express, The (1974)",Drama
9467,168350,100 Streets (2016),Drama
4037,5721,"Chosen, The (1981)",Drama
539,636,Frisk (1995),Drama
2398,3181,Titus (1999),Drama
1663,2236,Simon Birch (1998),Drama
7665,88810,"Help, The (2011)",Drama
362,418,Being Human (1993),Drama
1875,2493,"Harmonists, The (1997)",Drama
7487,82534,"Company Men, The (2010)",Drama
9225,152085,Desierto (2016),Drama
121,148,"Awfully Big Adventure, An (1995)",Drama
5372,8958,Ray (2004),Drama
3381,4599,Great Balls of Fire! (1989),Drama
5553,26695,"Krays, The (1990)",Drama
5738,30812,"Aviator, The (2004)",Drama
4893,7327,Persona (1966),Drama
2773,3711,Sarafina! (1992),Drama
4134,5947,Evelyn (2002),Drama
2904,3894,Solas (1999),Drama
6634,56286,I'm Not There (2007),Drama
4260,6216,Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama
4747,7071,"Woman Under the Influence, A (1974)",Drama
9257,156387,Sing Street (2016),Drama
4594,6832,Regarding Henry (1991),Drama
2439,3252,Scent of a Woman (1992),Drama
1160,1533,"Promise, The (La promesse) (1996)",Drama
3755,5238,Return of the Secaucus 7 (1980),Drama
2546,3408,Erin Brockovich (2000),Drama
8243,104337,Lee Daniels' The Butler (2013),Drama
8401,110330,Me and you (io e te) (2012),Drama
1721,2313,"Elephant Man, The (1980)",Drama
2424,3224,Woman in the Dunes (Suna no onna) (1964),Drama
807,1056,Jude (1996),Drama
6373,49961,Notes on a Scandal (2006),Drama
4952,7479,Watch on the Rhine (1943),Drama
